1,1.907,7.693
2,3.403,13.146
3,3.394,13.102
4,3.386,13.085
5,3.388,13.083
6,3.388,13.078
7,3.387,13.076
8,3.385,13.074
9,3.384,13.071
10,3.384,13.068
11,3.383,13.064
12,3.382,13.066
13,3.383,13.061
14,3.381,13.06
15,3.38,13.059
16,3.378,13.049
17,3.377,13.051
18,3.377,13.049
19,3.371,13.041
20,3.372,13.043
21,3.372,13.04
22,3.37,13.031
23,3.369,13.032
24,3.368,13.024
25,3.368,13.025
26,3.366,13.016
27,3.363,13.015
28,3.361,13.011
29,3.363,13.011
30,3.358,12.995
31,3.355,12.992
32,3.357,12.996
33,3.356,12.993
34,3.356,12.991
35,3.349,12.977
36,3.351,12.983
37,3.351,12.983
38,3.35,12.975
39,3.344,12.966
40,3.346,12.969
41,3.346,12.969
42,3.346,12.97
43,3.339,12.958
44,3.346,12.977
45,3.349,12.977
46,3.347,12.967
47,3.337,12.954
48,3.341,12.959
49,3.34,12.952
50,3.341,12.953
51,3.338,12.953
52,3.337,12.948
53,3.335,12.938
54,3.336,12.935
55,3.329,12.925
56,3.33,12.926
57,3.334,12.936
58,3.328,12.917
59,3.326,12.919
60,3.325,12.912
61,3.325,12.907
62,3.322,12.897
63,3.318,12.895
64,3.319,12.898
65,3.319,12.896
66,3.316,12.885
67,3.314,12.883
68,3.316,12.887
69,3.314,12.879
70,3.312,12.886
71,3.306,12.874
72,3.308,12.87
73,3.31,12.872
74,3.302,12.862
75,3.301,12.853
76,3.304,12.858
77,3.303,12.85
78,3.298,12.843
79,3.297,12.841
80,3.298,12.841
81,3.298,12.838
82,3.296,12.846
83,3.292,12.823
84,3.292,12.822
85,3.291,12.821
86,3.289,12.818
87,3.288,12.813
88,3.287,12.81
89,3.284,12.808
90,3.28,12.795
91,3.281,12.792
92,3.281,12.794
93,3.28,12.794
94,3.277,12.788
95,3.277,12.783
96,3.276,12.78
97,3.276,12.783
98,3.277,12.78
99,3.276,12.775
100,3.276,12.774
101,3.272,12.77
102,3.272,12.767
103,3.271,12.764
104,3.266,12.754
105,3.262,12.744
106,3.265,12.748
107,3.263,12.737
108,3.259,12.737
109,3.261,12.74
110,3.259,12.733
111,3.257,12.724
112,3.252,12.714
113,3.254,12.714
114,3.253,12.711
115,3.251,12.704
116,3.251,12.71
117,3.252,12.704
118,3.249,12.701
119,3.246,12.687
120,3.245,12.691
121,3.245,12.692
122,3.241,12.679
123,3.238,12.678
124,3.238,12.673
125,3.235,12.66
126,3.233,12.663
127,3.232,12.658
128,3.229,12.646
129,3.226,12.632
130,3.223,12.631
131,3.221,12.62
132,3.221,12.614
133,3.224,12.625
134,3.216,12.609
135,3.217,12.616
136,3.214,12.602
137,3.217,12.617
138,3.214,12.597
139,3.213,12.597
140,3.211,12.588
141,3.211,12.591
142,3.208,12.58
143,3.208,12.586
144,3.203,12.567
145,3.206,12.572
146,3.205,12.57
147,3.201,12.561
148,3.203,12.568
149,3.202,12.558
150,3.206,12.582
151,3.21,12.601
152,3.211,12.592
153,3.21,12.598
154,3.208,12.583
155,3.202,12.574
156,3.203,12.574
157,3.216,12.639
158,3.213,12.617
159,3.213,12.612
160,3.209,12.602
161,3.211,12.607
162,3.211,12.604
163,3.21,12.599
164,3.21,12.599
165,3.207,12.59
166,3.187,12.504
167,3.185,12.502
168,3.181,12.495
169,3.182,12.497
170,3.179,12.481
171,3.18,12.497
172,3.18,12.494
173,3.177,12.483
174,3.171,12.465
175,3.174,12.48
176,3.174,12.474
177,3.165,12.438
178,3.158,12.424
179,3.155,12.409
180,3.159,12.416
181,3.153,12.398
182,3.154,12.403
183,3.152,12.397
184,3.153,12.398
185,3.146,12.385
186,3.148,12.38
187,3.148,12.38
188,3.145,12.371
189,3.143,12.368
190,3.142,12.358
191,3.13,12.315
192,3.135,12.347
193,3.133,12.334
194,3.135,12.34
195,3.13,12.337
196,3.13,12.325
197,3.13,12.33
198,3.121,12.299
199,3.119,12.298
200,3.122,12.3
201,3.117,12.284
202,3.116,12.298
203,3.119,12.291
204,3.113,12.28
205,3.117,12.293
206,3.115,12.282
207,3.113,12.266
208,3.115,12.27
209,3.115,12.27
210,3.109,12.253
211,3.109,12.262
212,3.109,12.26
213,3.103,12.237
214,3.106,12.251
215,3.097,12.222
216,3.098,12.222
217,3.1,12.224
218,3.104,12.236
219,3.101,12.227
220,3.098,12.222
221,3.095,12.221
222,3.093,12.211
223,3.091,12.199
224,3.085,12.181
225,3.084,12.178
226,3.085,12.179
227,3.082,12.177
228,3.079,12.163
229,3.079,12.158
230,3.076,12.151
231,3.072,12.135
232,3.07,12.128
233,3.068,12.12
234,3.068,12.126
235,3.07,12.134
236,3.079,12.157
237,3.074,12.138
238,3.074,12.14
239,3.071,12.132
240,3.07,12.107
241,3.071,12.115
242,3.07,12.111
243,3.06,12.094
244,3.055,12.081
245,3.055,12.079
246,3.051,12.072
247,3.051,12.075
248,3.049,12.063
249,3.05,12.066
250,3.047,12.058
251,3.04,12.032
252,3.041,12.031
253,3.05,12.071
254,3.041,12.026
255,3.033,11.996
256,3.036,12.013
257,3.036,12.013
258,3.033,11.997
259,3.032,12.002
260,3.033,12.004
261,3.029,11.991
262,3.027,11.986
263,3.022,11.98
264,3.023,11.973
265,3.027,11.994
266,3.023,11.957
267,3.021,11.956
268,3.022,11.96
269,3.018,11.944
270,3.017,11.944
271,3.02,11.958
272,3.017,11.934
273,3.013,11.919
274,3.008,11.914
275,3.007,11.908
276,3.001,11.887
277,3.004,11.901
278,3.001,11.891
279,2.996,11.871
280,2.998,11.878
281,2.998,11.88
282,2.991,11.852
283,2.988,11.841
284,2.988,11.846
285,2.984,11.827
286,2.984,11.826
287,2.983,11.828
288,2.975,11.794
289,2.977,11.802
290,2.977,11.81
291,2.971,11.786
292,2.532,10.105
293,2.523,10.063
294,2.509,10.017
295,2.518,10.05
296,2.51,10.016
297,2.516,10.034
298,2.486,9.924
299,2.502,9.99
300,2.502,9.989
301,2.503,9.991
302,2.491,9.946
303,2.48,9.913
304,2.488,9.934
305,2.497,9.968
306,2.497,9.964
307,2.476,9.892
308,2.477,9.894
309,2.478,9.895
310,2.476,9.885
311,2.472,9.877
312,2.469,9.863
313,2.48,9.903
314,2.481,9.908
315,2.49,9.947
316,2.472,9.883
317,2.487,9.935
318,2.488,9.944
319,2.506,10.004
